,id,Name,Bred_for,Origin,Image_Url
31,34,Bedlington Terrier,"Killing rat, badger, other vermin",-NONE-,https://cdn2.thedogapi.com/images/ByK8gx947.jpg
32,36,Belgian Malinois,Stock herding,-NONE-,https://cdn2.thedogapi.com/images/r1f_ll5VX.jpg
33,38,Belgian Tervuren,"Guarding, Drafting, Police work.",-NONE-,https://cdn2.thedogapi.com/images/B1KdxlcNX.jpg
34,41,Bernese Mountain Dog,Draft work,-NONE-,https://cdn2.thedogapi.com/images/S1fFlx5Em.jpg
35,42,Bichon Frise,Companion,-NONE-,https://cdn2.thedogapi.com/images/HkuYlxqEQ.jpg
36,43,Black and Tan Coonhound,"Hunting raccoons, night hunting",-NONE-,https://cdn2.thedogapi.com/images/HJAFgxcNQ.jpg
37,45,Bloodhound,Trailing,-NONE-,https://cdn2.thedogapi.com/images/Skdcgx9VX.jpg
38,47,Bluetick Coonhound,Hunting with a superior sense of smell.,-NONE-,https://cdn2.thedogapi.com/images/rJxieg9VQ.jpg
39,48,Boerboel,"Guarding the homestead, farm work.",-NONE-,https://cdn2.thedogapi.com/images/HyOjge5Vm.jpg
40,50,Border Collie,Sheep herder,-NONE-,https://cdn2.thedogapi.com/images/sGQvQUpsp.jpg
41,51,Border Terrier,"Fox bolting, ratting",-NONE-,https://cdn2.thedogapi.com/images/HJOpge9Em.jpg
42,53,Boston Terrier,"Ratting, Companionship",-NONE-,https://cdn2.thedogapi.com/images/rkZRggqVX.jpg
43,54,Bouvier des Flandres,Cattle herding,-NONE-,https://cdn2.thedogapi.com/images/Byd0xl5VX.jpg
44,55,Boxer,"Bull-baiting, guardian",-NONE-,https://cdn2.thedogapi.com/images/ry1kWe5VQ.jpg
45,56,Boykin Spaniel,Turkey retrieving,-NONE-,https://cdn2.thedogapi.com/images/ryHJZlcNX.jpg
46,57,Bracco Italiano,Versatile gun dog,-NONE-,https://cdn2.thedogapi.com/images/S13yZg5VQ.jpg
47,58,Briard,"Herding, guarding sheep",-NONE-,https://cdn2.thedogapi.com/images/rkVlblcEQ.jpg
48,59,Brittany,"Pointing, retrieving",-NONE-,https://cdn2.thedogapi.com/images/HJWZZxc4X.jpg
49,61,Bull Terrier,"Bull baiting, Fighting",-NONE-,https://cdn2.thedogapi.com/images/VSraIEQGd.jpg
50,62,Bull Terrier (Miniature),An elegant man's fashion statement,-NONE-,https://cdn2.thedogapi.com/images/BkKZWlcVX.jpg
51,64,Bullmastiff,Estate guardian,-NONE-,https://cdn2.thedogapi.com/images/r1ifZl5E7.jpg
52,65,Cairn Terrier,"Bolting of otter, foxes, other vermin",-NONE-,https://cdn2.thedogapi.com/images/Sk7Qbg9E7.jpg
53,67,Cane Corso,"Companion, guard dog, and hunter",-NONE-,https://cdn2.thedogapi.com/images/r15m-lc4m.jpg
54,68,Cardigan Welsh Corgi,Cattle droving,-NONE-,https://cdn2.thedogapi.com/images/SyXN-e9NX.jpg
55,69,Catahoula Leopard Dog,Driving livestock,-NONE-,https://cdn2.thedogapi.com/images/BJcNbec4X.jpg
56,70,Caucasian Shepherd (Ovcharka),"Guard dogs, defending sheep from predators, mainly wolves, jackals and bears",-NONE-,https://cdn2.thedogapi.com/images/r1rrWe5Em.jpg
57,71,Cavalier King Charles Spaniel,"Flushing small birds, companion",-NONE-,https://cdn2.thedogapi.com/images/HJRBbe94Q.jpg
58,76,Chesapeake Bay Retriever,Water Retriever,-NONE-,https://cdn2.thedogapi.com/images/9BXwUeCc2.jpg
59,78,Chinese Crested,"Ratting, lapdog, curio",-NONE-,https://cdn2.thedogapi.com/images/B1pDZx9Nm.jpg
60,79,Chinese Shar-Pei,Fighting,-NONE-,https://cdn2.thedogapi.com/images/B1ruWl94Q.jpg
61,80,Chinook,Sled pulling,-NONE-,https://cdn2.thedogapi.com/images/Sypubg54Q.jpg
